pair_id,tier,source,pam_text,fil_text,unit,signal,claude_review,note
pldpair_015,gold_v1,parallel_extraction_v1/matched-pairs.csv,"Misan a bengi, maglacad ya I Iput-Ipot, (ing alitaptap) papunta king bale ning cayang caluguran. Iniang miparalan ya king tapat ng bale Amomo ngo (ing gorilya), kitnan ne niti: “Hoy, Iput-Ipot, obat pane cang ating dala-dalang sulu?” Mekibat ya I Iput-Ipot: “Uling tatacut ku king amuc.”","""Hoy, Iput-Iput, bakit lagi kang may dala-dalang ilaw?"" Sumagot si Iput-Iput: "" Dahil natatakot ako sa mga lamok.""",Utt_StoryIputipot.txt,high,partial: FIL renders only the dialogue; PAM has extra opening narration,PAM slot includes an extra lead-in narration sentence before the quoted dialogue; only the dialogue portion aligns 1:1 with the FIL slot.
pldpair_017,gold_v1,parallel_extraction_v1/matched-pairs.csv,"Iti metung yang masanting a pun, ating mangaragul a aluntiang bulung, at atin yang uyat a balamu cararagsa na pa mu caibat na ning baguiu. Sinaca re king pampang ing pun saging.","Ito'y isang magandang puno, may malalaki't luntiang dahon, at may mga ugat pang wari'y kabubuwal lamang pagkatapos ng bagyo.",Utt_StoryMatsing.txt,high,partial: PAM has an extra final sentence FIL does not translate,
pldpair_019,gold_v1,parallel_extraction_v1/matched-pairs.csv,"“Mituki cang cacampi mu uling mituki cung libu-libung gorilya a mas mangaragul pa canacu.” Sinabi nang Amomongo ban tacutan ne i alitaptap, a king pakiwari na masisira ne buntuc.","Sinabi ito ni Amomongo upang takutin ang alitaptap,"" na sa pakiwari niya ay nasisiraan ng ulo.",Utt_StoryIputipot.txt,high,"partial: FIL omits the quoted speech, keeps only the framing clause",PAM slot includes an extra leading quoted sentence ('Mituki cang cacampi...') not present in the FIL slot; only the 'Sinabi ni Amomongo...' portion aligns 1:1.
pldpair_020,gold_v1,parallel_extraction_v1/matched-pairs.csv,Mamayad ca king kecang carocan; dapat cang mate. Dapot uling maganaca cu papamilinan daca king kecang camatayan. Bayuan da ca king lusong o iyugse king ilug? Insanu ing buri mu?,"Babayuhin ba kita sa lusóng o itatapon sa ilog? Alin ang ibig mo?""",Utt_StoryMatsing.txt,high,partial: PAM has 4 sentences; FIL translates only the last 2 (the question),"PAM slot includes two preceding sentences not present in the FIL slot; only the final two sentences ('Bayuan da ca king lusong...') align 1:1. User review (2026-08-26): also note a grammatical mood shift in that aligned portion -- PAM reads as a declarative statement/threat ('I will pound you...'), FIL as an interrogative offering a choice ('Shall I pound you...?')."
pldpair_023,gold_v1,parallel_extraction_v1/matched-pairs.csv,Maligayang bati pu.,Maligayang bati po.,Utt_CommonExpressions.txt,high,ok,
pldpair_028,gold_v1,parallel_extraction_v1/matched-pairs.csv,Caduampulu't pitung,ikadalawampu't pitong,Iso_Ordinal.txt,high,ok,Both denote the 27th ordinal (PAM 'Caduampulu't pitung' = FIL 'ikadalawampu't pitong').
pldpair_029,gold_v1,parallel_extraction_v1/matched-pairs.csv,Caduampulu't atlu,ikadalawampu't tatlo,Iso_Ordinal.txt,high,ok,Both denote the 23rd ordinal (PAM 'Caduampulu't atlu' = FIL 'ikadalawampu't tatlo').
pldpair_030,gold_v1,parallel_extraction_v1/matched-pairs.csv,Salucuiang,kasalukuyang,Iso_Time.txt,high,ok,'present/current' -- PAM 'Salucuiang' and FIL 'kasalukuyang' are the same root.
pldpair_031,gold_v1,parallel_extraction_v1/matched-pairs.csv,Bugsu ning angin,bugso ng hangin,Iso_Weather.txt,high,ok,'gust of wind' -- PAM 'Bugsu ning angin' and FIL 'bugso ng hangin' are the same words.
pldpair_032,gold_v1,parallel_extraction_v1/matched-pairs.csv,Maialumigmig,halumigmig,Iso_Weather.txt,high,ok,'humid/humidity' -- PAM 'Maialumigmig' (adjective) and FIL 'halumigmig' (noun) share the same root; grammatical category differs slightly.
